id,Route Designator,Route Usage Notes
1, L504,(1) H24
2, L517,(1) H24
3, L625,(1) H24
4, L629,(1) H24
5, L635,(1) H24
6, L642,(1) H24
7, L644,(1) H24
8, L649,(1) H24
9, L762,(1) H24
10, M522,(1) H24
11, M630,(1) H24
12, M635,(1) H24
13, M646,(1) H24
14, M753,(1) H24
15, M754,(1) H24
16, M758,(1) H24
17, M761,(1) H24
18, M763,(1) H24
19, M765,(1) H24
20, M767,(1) H24
21, M768,(1) H24
22, M771,(1) H24
23, M772,(1) H24
24, M774,(1) H24
25, M904,(1) H24
26, N502,(1) H24
27, N875,(1) H24
28, N884,(1) H24
29, N891,(1) H24
30, N892,(1) H24
31, P501,(1) H24
32, Q801,(1) H24
33, Q802,(1) H24
34, Q803,(1) H24
35, T611,(1) H24
36, T612,(1) H24
37, Y332,(1) H24
38, Y333,(1) H24
39, Y334,(1) H24
40, Y335,(1) H24
41, Y336,(1) H24
42, Y339,(1) H24
43, Y342,(1) H24
44, Y514,(1) H24
