id,HLGD ID,FIX,WPT Coordinates latitude ,WPT Coordinates longitude,INBD TR,Direction of Procedure Turn,MAX IAS,MNM-MAX,HLDG Level,"Time
(min)",Controlling Unit and Frequency
1,BOBAG 38.6,"38.6 DME VTK R-234.7
24.0 DME SJ R-243.2",1.042,103.498,83,Right,250kt*,FL 140,6000 FT ALT,1,Singapore ACC124.05 MHz (PRI)124.6 MHz (SRY)
2,BOBAG 38.6,"38.6 DME VTK R-234.7
24.0 DME SJ R-243.2",1.042,103.498,83,Right,250kt*,FL 180,FL 150,1,"Singapore ACC
133.25 MHz (PRI)
135.8 MHz (SRY)"
3,ELALO,,4.211,104.558,174,Left,300kt,FL 350,FL 280,1.5,"Singapore ACC
123.7 MHz (PRI)
127.3 MHz (SRY)"
4,HOSBA (HHA) - Low Level,"34 DME SJ R-079
24 DME VTK R-103",1.33,104.405,259,Right,230kt*,FL 140,7000 FT ALT,1,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
5,HOSBA (HHA) - High Level,"34 DME SJ R-079
24 DME VTK R-103",1.33,104.405,259,Right,265kt*,FL 250,FL 150,1.5,"Singapore ACC
134.4 MHz (PRI)
128.1 MHz (SRY)
255.4 MHz"
6,IKIMA - High Level,"67.9 DME VTK R-127.6
70.5 DME SJ R-115.1",0.721,104.917,291,Right,250kt*,FL 250,FL 150,1.5,"Singapore ACC
134.4 MHz (PRI)
128.1 MHz (SRY)"
7,KARTO - High Level,"93.5 DME VTK R-098.3
102.6 DME SJ R-091.1",1.19,105.562,269,Left,280kt*,FL 310,FL 260,1.5,"Singapore ACC
134.2 MHz (PRI)
133.35 MHz(SRY)"
8,KILOT,,3.038,104.673,227,Left,250kt,FL 270,FL 220,1.5,"Singapore ACC
134.7 MHz (PRI)
134.15 MHz (SRY)"
9,LAMA - Low Level,7 DME PU R-024,1.53,103.98,204,Right,230kt*,FL 140,2500 FT ALT,1,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
10,LAVAX - Low Level,36 DME SJ R-095.5,1.164,104.454,269,Left,220kt,FL 140,7000 FT ALT,1,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
11,MABAL - High Level,"142.1 DME VTK R-030.1
157.2 DME SJ R-031.2",3.474,105.21,231,Left,300kt*,FL 350,FL 280,1.5,"Singapore ACC
123.7 MHz (PRI)
127.3 MHz (SRY)"
12,NYLON (NHA) - Low Level,13 DME VTK R-023,1.616,104.107,203,Left,220kt*,FL 140,3000 FT ALT,1,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz(SRY)"
13,NYLON (NHA) - High Level,13 DME VTK R-023,1.616,104.107,203,Left,265kt*,FL 250,FL 150,1.5,"	Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
14,REMES- Low Level,30 DME SJ R-168,0.728,103.96,348,Right,220kt,FL 140,6000 FT ALT,1,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
15,REPOV- High Level,"68.2 DME VTK R-178.6
57.9 DME SJ R-168.3",0.27,104.05,348,Left,250kt*,FL 250,FL 150,1.5,"Singapore ACC
134.4 MHz (PRI)
128.1 MHz(SRY)"
16,SAMKO (SHA),"8 DME SJ R-168
21 DME VTKR-203.5",1.092,103.882,348,Left,220kt*,FL 140,4000 FT ALT,1,"	Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
17,SAMKO (SHA),"8 DME SJ R-168
21 DME VTK R-203.5",1.092,103.882,348,Left,265kt*,FL 250,FL 150,1.5,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
18,SINJON,SJ DVOR/DME,1.222,103.856,348,Right,230kt*,FL 140,4500 FT ALT,1,"Singapore ACC
120.3 MHz (PRI)
124.6 MHz (SRY)"
